Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64685000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64685000;2;01/09/1955;;1;1;1753,416;271,652;573,337;1;30;1;1;1;;0;1753,416;1184,065;953,247;847,162;874,451;953,247;933,435;812,306;709,349;634,743;572,524;529,311;493,771;465,661;441,309;424,059;406,933;393,324;379,797;366,356;353,002;339,737;326,563;316,744;306,979;300,499;290,826;287,614;278,017;271,652;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/10/1955;;1;1;271,652;167,857;231,375;15;27;1;1;1;;0;268,479;265,312;259;268,479;243,339;240,228;237,124;237,124;237,124;237,124;234,027;227,855;259;268,479;271,652;268,479;246,457;227,855;212,556;203,469;197,45;188,483;182,547;179,591;176,645;173,706;167,857;203,469;249,583;271,652;268,479;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/11/1955;;1;1;1138,839;218,653;425,705;4;30;1;1;1;;0;306,979;444,774;653,255;1138,839;1130,65;747,191;529,311;420,624;369,708;363,009;400,118;359,668;313,483;287,614;268,479;246,457;249,583;287,614;403,523;620,001;490,241;413,769;396,718;369,708;326,563;284,409;259;243,339;227,855;218,653;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/12/1955;;1;1;383,171;159,15;231,189;6;26;1;1;1;;0;218,653;221,713;240,228;255,854;294,044;383,171;329,848;290,826;265,312;237,124;227,855;237,124;240,228;234,027;227,855;215,601;206,49;206,49;194,453;182,547;176,645;173,706;167,857;167,857;162,043;159,15;167,857;215,601;252,715;300,499;313,483;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/01/1956;;1;1;497,305;179,591;266,766;28;15;1;1;1;;0;287,614;274,831;281,21;287,614;303,736;297,268;274,831;268,479;265,312;259;255,854;234,027;212,556;197,45;179,591;179,591;179,591;179,591;182,547;194,453;212,556;215,601;227,855;234,027;246,457;268,479;316,744;497,305;455,196;417,194;383,171;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/02/1956;;1;1;336,435;176,645;222,767;1;23;1;1;1;;0;336,435;297,268;287,614;265,312;240,228;227,855;212,556;197,45;188,483;179,591;191,464;200,455;218,653;230,937;252,715;234,027;227,855;221,713;206,49;197,45;182,547;179,591;176,645;212,556;255,854;234,027;212,556;200,455;191,464;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
64685000;2;01/03/1956;;1;1;212,556;136,35;161,941;31;11;1;1;1;;0;179,591;176,645;170,777;164,945;162,043;156,266;153,392;147,672;147,672;141,991;136,35;136,35;150,527;153,392;144,827;150,527;162,043;150,527;153,392;153,392;153,392;156,266;159,15;162,043;167,857;164,945;156,266;191,464;200,455;203,469;212,556;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/04/1956;;1;1;1077,681;203,469;485,674;8;1;1;1;1;;0;203,469;255,854;346,358;326,563;290,826;356,332;583,421;1077,681;953,247;773,886;671,862;854,944;921,584;933,435;608,986;511,486;434,395;383,171;343,044;323,284;300,499;284,409;278,017;265,312;262,153;265,312;271,652;339,737;529,311;620,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/05/1956;;1;1;1784,429;490,241;992,604;7;24;2;2;2;;0;773,886;683,07;623,681;631,052;660,687;1242,07;1784,429;1713,685;1696,078;1625,98;1617,255;1444,546;1237,911;1110,224;1009,107;937,391;886,193;854,944;823,896;785,377;770,062;796,898;579,785;490,241;518,603;913,698;1254,564;1081,739;820,029;694,31;709,349;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;
64685000;2;01/06/1956;;1;1;2967,715;598,005;1088,46;2;25;1;1;1;;0;1604,183;2967,715;2674,124;2414,221;2013,217;1384,934;1184,065;993,089;897,963;862,737;858,839;882,276;854,944;854,944;793,055;770,062;789,214;816,166;793,055;698,065;645,839;616,325;608,986;601,661;598,005;598,005;631,052;993,089;1200,588;1053,387;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/07/1956;;1;1;2232,865;369,708;693,721;25;22;1;1;1;;0;839,394;796,898;671,862;623,681;587,061;550,843;522,168;490,241;469,159;448,243;437,85;427,5;417,194;406,933;417,194;406,933;400,118;389,934;386,55;383,171;376,429;369,708;373,066;1138,839;2232,865;2054,091;1359,523;1021,149;847,162;800,745;858,839;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/08/1956;;1;1;3567,193;386,55;1034,031;2;31;1;1;1;;0;1530,468;3567,193;3207,374;2712,316;2512,899;1949,927;1552,084;1308,956;1138,839;997,089;897,963;823,896;716,889;679,33;645,839;612,654;583,421;558,053;543,649;518,603;507,934;507,934;507,934;497,305;472,661;451,717;434,395;420,624;410,349;400,118;386,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/09/1956;;1;1;1225,447;336,435;487,681;18;8;1;1;1;;0;383,171;379,797;373,066;363,009;356,332;353,002;343,044;336,435;339,737;403,523;472,661;472,661;437,85;406,933;417,194;462,168;886,193;1225,447;969,149;743,391;608,986;522,168;486,716;455,196;420,624;462,168;410,349;389,934;383,171;366,356;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/10/1956;;1;1;353,002;274,831;299,768;1;23;1;1;1;;0;353,002;339,737;320,011;313,483;300,499;297,268;287,614;284,409;287,614;303,736;313,483;323,284;333,138;316,744;297,268;281,21;281,21;290,826;281,21;284,409;290,826;281,21;274,831;281,21;297,268;303,736;294,044;278,017;297,268;303,736;300,499;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/11/1956;;1;1;297,268;153,392;208,158;1;30;1;1;1;;0;297,268;297,268;290,826;268,479;262,153;243,339;230,937;218,653;227,855;237,124;230,937;221,713;215,601;209,519;206,49;203,469;197,45;185,511;179,591;179,591;173,706;170,777;167,857;167,857;167,857;164,945;162,043;156,266;156,266;153,392;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
